respondent_id,Artist,Art_practice,Purchase_art,Professional_artist,AI_models_familiarity,Used_AI_art_models,compensation,Age,POC,Gender_identity,Country,question_group,perspective_text
10,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_of_any_profit_made,30-49,Yes ,Female,United States of America,threat,I disagree that AI art models are a threat to art workers.
10,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_of_any_profit_made,30-49,Yes ,Female,United States of America,utility,I agree that AI art models are a positive development in the field of art.
10,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_of_any_profit_made,30-49,Yes ,Female,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I neither agree nor disagree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
10,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_of_any_profit_made,30-49,Yes ,Female,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
10,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_of_any_profit_made,30-49,Yes ,Female,United States of America,compensation,I prefer a portion of any profit made from AI art trained on my work.
12,Yes,paint,Yes ,No,AI art generally,No,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,threat,I am unsure whether AI art models are a threat to art workers.
12,Yes,paint,Yes ,No,AI art generally,No,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,utility,I am unsure whether AI art models are a positive development in the field of art.
12,Yes,paint,Yes ,No,AI art generally,No,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,ownership,I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
12,Yes,paint,Yes ,No,AI art generally,No,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,transparency,I am unsure whether AI model creators should be required to disclose in detail what art and images they use to train their AI models.
12,Yes,paint,Yes ,No,AI art generally,No,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,compensation,I would not feel comfortable with any of the listed compensation options.
17,Yes,paint,Yes ,Yes,AI art generally,No,flat_fee,30-49,No ,Female,United States of America,threat,I am unsure whether AI art models are a threat to art workers.
17,Yes,paint,Yes ,Yes,AI art generally,No,flat_fee,30-49,No ,Female,United States of America,utility,I am unsure whether AI art models are a positive development in the field of art.
17,Yes,paint,Yes ,Yes,AI art generally,No,flat_fee,30-49,No ,Female,United States of America,ownership,I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI user. I neither agree nor disagree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
17,Yes,paint,Yes ,Yes,AI art generally,No,flat_fee,30-49,No ,Female,United States of America,transparency,I am unsure whether AI model creators should be required to disclose in detail what art and images they use to train their AI models.
17,Yes,paint,Yes ,Yes,AI art generally,No,flat_fee,30-49,No ,Female,United States of America,compensation,I consider a flat fee to be fair compensation for using my art as training data.
23,Yes,drawing,No ,No,none,No,flat_fee,50-64,No ,Female,United States of America,threat,I agree that AI art models are a threat to art workers.
23,Yes,drawing,No ,No,none,No,flat_fee,50-64,No ,Female,United States of America,utility,I agree that AI art models are a positive development in the field of art.
23,Yes,drawing,No ,No,none,No,flat_fee,50-64,No ,Female,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
23,Yes,drawing,No ,No,none,No,flat_fee,50-64,No ,Female,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
23,Yes,drawing,No ,No,none,No,flat_fee,50-64,No ,Female,United States of America,compensation,I consider a flat fee to be fair compensation for using my art as training data.
24,Yes,Photography,Yes ,No,AI art generally,Yes ,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,threat,I agree that AI art models are a threat to art workers.
24,Yes,Photography,Yes ,No,AI art generally,Yes ,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,utility,I agree that AI art models are a positive development in the field of art.
24,Yes,Photography,Yes ,No,AI art generally,Yes ,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
24,Yes,Photography,Yes ,No,AI art generally,Yes ,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
24,Yes,Photography,Yes ,No,AI art generally,Yes ,not_comfortable_with_any_listed_options,65 or older,Yes ,Female,United States of America,compensation,I would not feel comfortable with any of the listed compensation options.
25,Yes,paint,Yes ,No,AI art generally,No,nocomp_but_no_forprofit,18 - 29,No ,Female,United States of America,threat,I agree that AI art models are a threat to art workers.
25,Yes,paint,Yes ,No,AI art generally,No,nocomp_but_no_forprofit,18 - 29,No ,Female,United States of America,utility,I disagree that AI art models are a positive development in the field of art.
25,Yes,paint,Yes ,No,AI art generally,No,nocomp_but_no_forprofit,18 - 29,No ,Female,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
25,Yes,paint,Yes ,No,AI art generally,No,nocomp_but_no_forprofit,18 - 29,No ,Female,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
25,Yes,paint,Yes ,No,AI art generally,No,nocomp_but_no_forprofit,18 - 29,No ,Female,United States of America,compensation,"I do not need to profit, but I do not want for-profit companies to profit from my art."
28,Yes,tattoo,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,30-49,Yes ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
28,Yes,tattoo,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,30-49,Yes ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
28,Yes,tattoo,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,30-49,Yes ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
28,Yes,tattoo,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,30-49,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
28,Yes,tattoo,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,30-49,Yes ,Male,United States of America,compensation,"I do not need to profit, but I do not want for-profit companies to profit from my art."
33,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_from_derivatives,18 - 29,No ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
33,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_from_derivatives,18 - 29,No ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
33,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_from_derivatives,18 - 29,No ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
33,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_from_derivatives,18 - 29,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
33,Yes,Photography,Yes ,No,AI art generally,Yes ,portion_from_derivatives,18 - 29,No ,Male,United States of America,compensation,I consider it fair to receive a portion of any profit from derivative works made using the model.
35,Yes,paint,Yes ,Yes,AI_Deeplearning_GANS,Yes ,nocompt_noprofit4anyone,18 - 29,Yes ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
35,Yes,paint,Yes ,Yes,AI_Deeplearning_GANS,Yes ,nocompt_noprofit4anyone,18 - 29,Yes ,Male,United States of America,utility,I am unsure whether AI art models are a positive development in the field of art.
35,Yes,paint,Yes ,Yes,AI_Deeplearning_GANS,Yes ,nocompt_noprofit4anyone,18 - 29,Yes ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
35,Yes,paint,Yes ,Yes,AI_Deeplearning_GANS,Yes ,nocompt_noprofit4anyone,18 - 29,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
35,Yes,paint,Yes ,Yes,AI_Deeplearning_GANS,Yes ,nocompt_noprofit4anyone,18 - 29,Yes ,Male,United States of America,compensation,"I do not need to profit, but I do not want anyone else to profit from my art. In my view, taxes on AI art profits should support: They should support one another"
36,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Non-binary ,United States of America,threat,I agree that AI art models are a threat to art workers.
36,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Non-binary ,United States of America,utility,I agree that AI art models are a positive development in the field of art.
36,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Non-binary ,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I disagree that AI-generated artwork in my style should be considered my property as the original artist. I disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
36,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Non-binary ,United States of America,transparency,I disagree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
36,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Non-binary ,United States of America,compensation,"I do not need to profit, but I do not want anyone else to profit from my art."
40,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,No ,Female,United States of America,threat,I agree that AI art models are a threat to art workers.
40,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,No ,Female,United States of America,utility,I agree that AI art models are a positive development in the field of art.
40,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,No ,Female,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
40,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,No ,Female,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
40,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,No ,Female,United States of America,compensation,I would donate the use of my artwork to train AI art models with no compensation.
44,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Male,United States of America,threat,I disagree that AI art models are a threat to art workers.
44,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
44,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
44,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
44,Yes,paint,Yes ,No,AI art generally,Yes ,nocompt_noprofit4anyone,30-49,No ,Male,United States of America,compensation,"I do not need to profit, but I do not want anyone else to profit from my art."
45,Yes,Photography,Yes ,Yes,AI_Deeplearning_GANS,No,portion_from_model_creators,18 - 29,No ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
45,Yes,Photography,Yes ,Yes,AI_Deeplearning_GANS,No,portion_from_model_creators,18 - 29,No ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
45,Yes,Photography,Yes ,Yes,AI_Deeplearning_GANS,No,portion_from_model_creators,18 - 29,No ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
45,Yes,Photography,Yes ,Yes,AI_Deeplearning_GANS,No,portion_from_model_creators,18 - 29,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
45,Yes,Photography,Yes ,Yes,AI_Deeplearning_GANS,No,portion_from_model_creators,18 - 29,No ,Male,United States of America,compensation,I consider it fair to receive a portion of any profit made by the model creators.
47,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
47,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
47,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
47,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
47,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,compensation,"I would donate the use of my artwork to train AI art models with no compensation. In my view, taxes on AI art profits should support: It should support artists"
48,Yes,Photography,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
48,Yes,Photography,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
48,Yes,Photography,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
48,Yes,Photography,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
48,Yes,Photography,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,compensation,I would donate the use of my artwork to train AI art models with no compensation.
49,Yes,Photography,Yes ,No,none,None of the above,donate_to_trainer,18 - 29,No ,Female,United States of America,threat,I agree that AI art models are a threat to art workers.
49,Yes,Photography,Yes ,No,none,None of the above,donate_to_trainer,18 - 29,No ,Female,United States of America,utility,I agree that AI art models are a positive development in the field of art.
49,Yes,Photography,Yes ,No,none,None of the above,donate_to_trainer,18 - 29,No ,Female,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
49,Yes,Photography,Yes ,No,none,None of the above,donate_to_trainer,18 - 29,No ,Female,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
49,Yes,Photography,Yes ,No,none,None of the above,donate_to_trainer,18 - 29,No ,Female,United States of America,compensation,I would donate the use of my artwork to train AI art models with no compensation.
54,Yes,paint,Yes ,No,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
54,Yes,paint,Yes ,No,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
54,Yes,paint,Yes ,No,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
54,Yes,paint,Yes ,No,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
54,Yes,paint,Yes ,No,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,compensation,I would donate the use of my artwork to train AI art models with no compensation.
56,Yes,paint,Yes ,Yes,AI art generally,No,not_comfortable_with_any_listed_options,30-49,No ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
56,Yes,paint,Yes ,Yes,AI art generally,No,not_comfortable_with_any_listed_options,30-49,No ,Male,United States of America,utility,I am unsure whether AI art models are a positive development in the field of art.
56,Yes,paint,Yes ,Yes,AI art generally,No,not_comfortable_with_any_listed_options,30-49,No ,Male,United States of America,ownership,I disagree that AI-generated artwork in my style should be considered the property of the AI user. I disagree that AI-generated artwork in my style should be considered my property as the original artist. I disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
56,Yes,paint,Yes ,Yes,AI art generally,No,not_comfortable_with_any_listed_options,30-49,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
56,Yes,paint,Yes ,Yes,AI art generally,No,not_comfortable_with_any_listed_options,30-49,No ,Male,United States of America,compensation,I would not feel comfortable with any of the listed compensation options.
57,Yes,paint,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,18 - 29,No ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
57,Yes,paint,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,18 - 29,No ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
57,Yes,paint,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,18 - 29,No ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
57,Yes,paint,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,18 - 29,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
57,Yes,paint,Yes ,Yes,AI art generally,Yes ,nocomp_but_no_forprofit,18 - 29,No ,Male,United States of America,compensation,"I do not need to profit, but I do not want for-profit companies to profit from my art."
60,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,18 - 29,Yes ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
60,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,18 - 29,Yes ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
60,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,18 - 29,Yes ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
60,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,18 - 29,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
60,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,18 - 29,Yes ,Male,United States of America,compensation,I would donate the use of my artwork to train AI art models with no compensation.
63,Yes,paint,Yes ,No,none,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,threat,I disagree that AI art models are a threat to art workers.
63,Yes,paint,Yes ,No,none,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
63,Yes,paint,Yes ,No,none,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I disagree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
63,Yes,paint,Yes ,No,none,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
63,Yes,paint,Yes ,No,none,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,compensation,I prefer a portion of any profit made from AI art trained on my work.
64,Yes,Photography,Yes ,Yes,AI art generally,No,flat_fee,30-49,Yes ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
64,Yes,Photography,Yes ,Yes,AI art generally,No,flat_fee,30-49,Yes ,Male,United States of America,utility,I am unsure whether AI art models are a positive development in the field of art.
64,Yes,Photography,Yes ,Yes,AI art generally,No,flat_fee,30-49,Yes ,Male,United States of America,ownership,I disagree that AI-generated artwork in my style should be considered the property of the AI user. I disagree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
64,Yes,Photography,Yes ,Yes,AI art generally,No,flat_fee,30-49,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
64,Yes,Photography,Yes ,Yes,AI art generally,No,flat_fee,30-49,Yes ,Male,United States of America,compensation,"I consider a flat fee to be fair compensation for using my art as training data. In my view, taxes on AI art profits should support: They should support the artists - and / or fund art-related programs"
66,Yes,music,No ,No,AI art generally,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,threat,I am unsure whether AI art models are a threat to art workers.
66,Yes,music,No ,No,AI art generally,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,utility,I am unsure whether AI art models are a positive development in the field of art.
66,Yes,music,No ,No,AI art generally,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,ownership,I disagree that AI-generated artwork in my style should be considered the property of the AI user. I disagree that AI-generated artwork in my style should be considered my property as the original artist. I disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
66,Yes,music,No ,No,AI art generally,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
66,Yes,music,No ,No,AI art generally,No,portion_of_any_profit_made,18 - 29,No ,Male,United States of America,compensation,I prefer a portion of any profit made from AI art trained on my work.
70,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
70,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
70,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
70,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,50-64,Yes ,Male,United States of America,compensation,I would donate the use of my artwork to train AI art models with no compensation.
71,Yes,drawing,No ,No,none,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,threat,I am unsure whether AI art models are a threat to art workers.
71,Yes,drawing,No ,No,none,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,utility,I am unsure whether AI art models are a positive development in the field of art.
71,Yes,drawing,No ,No,none,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,ownership,I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI user. I neither agree nor disagree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
71,Yes,drawing,No ,No,none,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,transparency,I am unsure whether AI model creators should be required to disclose in detail what art and images they use to train their AI models.
71,Yes,drawing,No ,No,none,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,compensation,I do not need to profit from the use of my artwork to train AI art models.
73,Yes,Photography,Yes ,No,AI art generally,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
73,Yes,Photography,Yes ,No,AI art generally,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,utility,I agree that AI art models are a positive development in the field of art.
73,Yes,Photography,Yes ,No,AI art generally,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
73,Yes,Photography,Yes ,No,AI art generally,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
73,Yes,Photography,Yes ,No,AI art generally,Yes ,I_dont_need_profit,30-49,No ,Male,United States of America,compensation,I do not need to profit from the use of my artwork to train AI art models.
74,Yes,paint,Yes ,Yes,AI art generally,Yes ,donate_to_trainer,30-49,Yes ,Male,United States of America,threat,I disagree that AI art models are a threat to art workers.
